lon,lat,gid,y,x,comID
-97.0469549444806,41.5346680273608,1172,31,1,100010031
-96.9523970608336,41.5346680273609,1173,31,2,100020031
-96.8578391771865,41.5346680273608,1174,31,3,100030031
-96.7632812935394,41.5346680273609,1175,31,4,100040031
-96.6687234098924,41.5346680273608,1176,31,5,100050031
-96.5741655262454,41.5346680273608,1177,31,6,100060031
-96.4796076425983,41.5346680273608,1178,31,7,100070031
-96.3850497589512,41.5346680273608,1179,31,8,100080031
-96.2904918753042,41.5346680273609,1180,31,9,100090031
-96.1959339916572,41.5346680273608,1181,31,10,100100031
-96.1013761080101,41.5346680273608,1182,31,11,100110031
-96.006818224363,41.5346680273609,1183,31,12,100120031
-95.912260340716,41.5346680273608,1184,31,13,100130031
-95.8177024570689,41.5346680273608,1185,31,14,100140031
-95.7231445734219,41.5346680273609,1186,31,15,100150031
-95.6285866897748,41.5346680273609,1187,31,16,100160031
-95.5340288061278,41.5346680273608,1188,31,17,100170031
-95.4394709224808,41.5346680273608,1189,31,18,100180031
-95.3449130388337,41.5346680273609,1190,31,19,100190031
-95.2503551551867,41.5346680273608,1191,31,20,100200031
-95.1557972715396,41.5346680273609,1192,31,21,100210031
-95.0612393878925,41.5346680273608,1193,31,22,100220031
-94.9666815042455,41.5346680273608,1194,31,23,100230031
-94.8721236205984,41.5346680273608,1195,31,24,100240031
-94.7775657369514,41.5346680273609,1196,31,25,100250031
-94.6830078533043,41.5346680273608,1197,31,26,100260031
-94.5884499696573,41.5346680273609,1198,31,27,100270031
-94.4938920860103,41.5346680273608,1199,31,28,100280031
-94.3993342023632,41.5346680273608,1200,31,29,100290031
-94.3047763187161,41.5346680273608,1201,31,30,100300031
-94.2102184350691,41.5346680273609,1202,31,31,100310031
-94.115660551422,41.5346680273608,1203,31,32,100320031
-94.021102667775,41.5346680273609,1204,31,33,100330031
-93.9265447841279,41.5346680273608,1205,31,34,100340031
-93.8319869004809,41.5346680273609,1206,31,35,100350031
-93.7374290168338,41.5346680273608,1207,31,36,100360031
-93.6428711331868,41.5346680273609,1208,31,37,100370031
-93.5483132495397,41.5346680273608,1209,31,38,100380031
-93.4537553658927,41.5346680273609,1210,31,39,100390031
-93.3591974822456,41.5346680273608,1211,31,40,100400031
-93.2646395985986,41.5346680273609,1212,31,41,100410031
-93.1700817149515,41.5346680273608,1213,31,42,100420031
-93.0755238313045,41.5346680273609,1214,31,43,100430031
-92.9809659476574,41.5346680273608,1215,31,44,100440031
-92.8864080640104,41.5346680273609,1216,31,45,100450031
-92.7918501803633,41.5346680273608,1217,31,46,100460031
-92.6972922967163,41.5346680273609,1218,31,47,100470031
-92.6027344130692,41.5346680273608,1219,31,48,100480031
-92.5081765294222,41.5346680273609,1220,31,49,100490031
-92.4136186457751,41.5346680273608,1221,31,50,100500031
-92.3190607621281,41.5346680273609,1222,31,51,100510031
-92.224502878481,41.5346680273608,1223,31,52,100520031
-92.129944994834,41.5346680273608,1224,31,53,100530031
-92.0353871111869,41.5346680273609,1225,31,54,100540031
-91.9408292275399,41.5346680273609,1226,31,55,100550031
-91.8462713438928,41.5346680273608,1227,31,56,100560031
-91.7517134602458,41.5346680273608,1228,31,57,100570031
-91.6571555765987,41.5346680273609,1229,31,58,100580031
-91.5625976929516,41.5346680273608,1230,31,59,100590031
-91.4680398093046,41.5346680273609,1231,31,60,100600031
-91.3734819256576,41.5346680273608,1232,31,61,100610031
-91.2789240420105,41.5346680273609,1233,31,62,100620031
-91.1843661583635,41.5346680273608,1234,31,63,100630031
-91.0898082747164,41.5346680273609,1235,31,64,100640031
-90.9952503910693,41.5346680273608,1236,31,65,100650031
-90.9006925074223,41.5346680273609,1237,31,66,100660031
-90.8061346237753,41.5346680273608,1238,31,67,100670031
-90.7115767401282,41.5346680273609,1239,31,68,100680031
-90.6170188564811,41.5346680273608,1240,31,69,100690031
-90.5224609728341,41.5346680273609,1241,31,70,100700031
-90.427903089187,41.5346680273608,1242,31,71,100710031
-90.33334520554,41.5346680273609,1243,31,72,100720031
-90.2387873218929,41.5346680273608,1244,31,73,100730031
-90.1442294382459,41.5346680273609,1245,31,74,100740031
-90.0496715545988,41.5346680273608,1246,31,75,100750031
-89.9551136709518,41.5346680273609,1247,31,76,100760031
-89.8605557873047,41.5346680273608,1248,31,77,100770031
-97.1415128281277,41.6297142239887,1249,30,0,100000030
-97.0469549444806,41.6297142239887,1250,30,1,100010030
-96.9523970608335,41.6297142239887,1251,30,2,100020030
-96.8578391771865,41.6297142239887,1252,30,3,100030030
