,id,year,prod,agreementindex,bias,correlationcoefficient,covariance,decomposed_mse,kge,log_p,mae,mse,nashsutcliffe,pbias,rmse,rrmse,rsquared,rsr,volume_error,lid,USGS_id,USGS_name,Area,Slope,t_trav,lat,lon,ifis_id,num_up_gag,nRMSE,nMAE,timing,norm_bias,ppd,peak_qsim,qsim_vol,qobs_vol,pt_change_vol
23,1727,2012,Q_ol,0.8191,0.6553,0.8319,5.9384,5.2755,0.4235,-69.5936,0.9318,5.2755,0.5851,-33.4356,2.2968,1.1720,0.6920,0.6441,-0.3344,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0050,0.0020,-12.0000,-0.1838,-0.5201,16.8502,28482821.8563,44040327.4439,-35.3256
24,1728,2013,Q_ol,0.7495,4.1624,0.6803,83.3403,120.6402,0.3822,-52.8665,6.0260,120.6402,0.3707,-38.6273,10.9836,1.0193,0.4628,0.7933,-0.3863,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0240,0.0131,-10.0000,-0.3006,-0.6723,50.6609,126203312.5403,201150680.4786,-37.2593
25,1729,2014,Q_ol,0.8048,3.0073,0.7494,45.6336,48.6024,0.4163,-48.3931,4.1068,48.6024,0.4558,-42.0337,6.9715,0.9744,0.5616,0.7377,-0.4203,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0152,0.0090,-10.0000,-0.3182,-0.3004,68.7428,81398600.1932,140400734.6566,-42.0241
26,1730,2015,Q_ol,0.8391,1.3444,0.7473,18.9701,15.4213,0.5477,-49.9093,2.0868,15.4213,0.4903,-33.8870,3.9270,0.9899,0.5584,0.7140,-0.3389,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0086,0.0046,-1.0000,-0.2444,0.0104,73.8179,61308344.8144,93443623.7604,-34.3900
27,1731,2016,Q_ol,0.9194,3.5548,0.9193,380.1906,135.2731,0.5781,-42.5380,5.3313,135.2731,0.7731,-27.8852,11.6307,0.9123,0.8451,0.4764,-0.2789,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0254,0.0116,0.0000,-0.1456,-0.3793,267.1431,212764703.4642,293056351.1539,-27.3980
28,1732,2017,Q_ol,0.7314,-1.5019,0.5910,18.3894,27.7040,0.5108,-45.1986,3.3654,27.7040,0.1120,26.8519,5.2635,0.9411,0.3493,0.9423,0.2685,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0115,0.0073,0.0000,0.2689,-0.2377,42.5255,164004602.9334,129504156.1932,26.6404
29,1733,2018,Q_ol,0.9192,4.0253,0.8840,200.3244,72.4465,0.6407,-23.5869,5.2403,72.4465,0.7185,-31.8424,8.5116,0.6733,0.7815,0.5306,-0.3184,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0186,0.0114,-0.0000,-0.2509,-0.1946,159.6446,204250940.6389,299851316.1769,-31.8826
30,316,2015,Q_assim,0.8461,-0.5535,0.7302,124.8446,93.9895,0.7098,-35.3125,6.4289,93.9895,0.3975,4.7351,9.6948,0.8294,0.5332,0.7762,0.0474,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0058,0.0039,0.0000,0.0443,0.7096,213.9700,244409946.0000,233711445.8707,4.5777
31,317,2016,Q_assim,0.7959,18.4193,0.8406,2523.0778,2689.3936,0.3601,-58.8970,24.0743,2689.3936,0.5409,-38.2467,51.8594,1.0768,0.7066,0.6775,-0.3825,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0311,0.0144,1.0000,-0.2406,-0.6336,327.8367,602143944.0000,989707907.1283,-39.1594
32,318,2017,Q_assim,0.8049,-4.4761,0.6821,541.8278,530.5980,0.6310,-37.2688,13.1907,530.5980,0.2734,16.5685,23.0347,0.8526,0.4653,0.8524,0.1657,434365,5411850,Turkey River near Eldorado (EDRI4-05411850),1667.9536,0.0804,43.9800,43.0542,-91.8091,587,2,0.0138,0.0079,2.0000,0.1656,-0.3478,149.9533,620207478.0000,531836073.8093,16.6163
